id	filename	md5	size	state
e1ca87d5-3964-4880-a3eb-30e4e2d2b26f	nationwidechildrens.org_clinical_patient_ucs.txt	96af3f9f3498626a3084b3147c69894b	49294	released
57683e22-a8ea-4eca-bfcf-f708cf459546	nationwidechildrens.org_clinical_patient_gbm.txt	bc3bea4037b38ea2275de2517ad79790	268807	released
909f0719-b165-4beb-9fb3-f21aff071469	nationwidechildrens.org_clinical_patient_acc.txt	f2d9a09c083f560129a82f77e5f84e70	104816	released
eaa71705-960a-4abd-b5d7-f5fdc0d0c5af	nationwidechildrens.org_clinical_patient_blca.txt	b63eb92ac3cf7d6bac75c13cd13a5c2e	376767	released
916e5115-af71-427d-82de-231ac023ce41	nationwidechildrens.org_clinical_patient_esca.txt	f43ecb0abec84a7e3193649a05aa9948	149361	released
8f5ff93a-08b6-4d86-bbe2-7a02127b2f48	nationwidechildrens.org_clinical_patient_chol.txt	3bffa7c51eb9043266ccdfb3da276621	39698	released
f3a1bc62-9552-4553-b318-7d9c21d21ce7	nationwidechildrens.org_clinical_patient_lgg.txt	00dcd9b02d7bdc39909d4b05072a53fa	351218	released
5c81bd45-ab70-4bcd-895c-5fe916f272d6	nationwidechildrens.org_clinical_patient_thca.txt	a204f90da366d88410c6f4789ed4cb9f	466862	released
14bdc241-ad7e-421e-b49c-8ab5ed23a5d2	nationwidechildrens.org_clinical_patient_uvm.txt	d727b797d6fa58f4efb0d687dd9a08a8	57971	released
7cca5722-26cf-4ac8-a4a6-b803459f1861	nationwidechildrens.org_clinical_patient_thym.txt	a12604a19d2aee77c0fc8a5de15356ab	67824	released
a4e80133-a7b1-4adc-8c69-1178c1871c78	nationwidechildrens.org_clinical_patient_read.txt	ea4b641ffb500b87793ef31a54b4c51f	145068	released
2d041399-6315-4b3f-a3f8-dd6088c452f1	nationwidechildrens.org_clinical_patient_kich.txt	ad07a5a7b569c541f656f42a8abafdd9	65033	released
e086b524-696f-477c-87db-fa2a5ddb2a1c	nationwidechildrens.org_clinical_patient_tgct.txt	d95a6653c95fcc64ecfeab320dc05abf	143867	released
ddeb78fc-91e8-4e00-a89a-7c63f9bfc03d	nationwidechildrens.org_clinical_patient_meso.txt	8b3a387baf00f9c47d5457a3406edb49	68177	released
23529ac8-43ca-408a-86ec-cd555f58edbd	nationwidechildrens.org_clinical_patient_ucec.txt	09e0ea65827556e8f5abe778ae843258	470862	released
88b30bf9-b937-4381-8684-42bbcce98fa0	nationwidechildrens.org_clinical_patient_lihc.txt	80cd975f720f7a053897114ad7dfef89	269895	released
8c43d640-c32d-439c-8c46-22c46e8f9ba0	nationwidechildrens.org_clinical_patient_kirc.txt	086ad013f530794b9976b7cc82b785ba	360398	released
c07a64a0-7588-4653-95ef-982b41a1a804	nationwidechildrens.org_clinical_patient_laml.txt	81c01eb2a16e362d07077fb294ac3a34	313180	released
30c149ac-9ac2-4f51-88a3-68bb4afb50a9	nationwidechildrens.org_clinical_patient_ov.txt	400db16607cef718e6825773d26d5a68	428174	released
5940e28d-75ee-4ecf-b29d-317f5ef89a05	nationwidechildrens.org_clinical_patient_kirp.txt	e2ade94d85809679568319467d6dfec0	183695	released
516e1008-c07e-4420-9b7b-dbbd219cae5e	nationwidechildrens.org_clinical_patient_hnsc.txt	9bfb9a523c9d9a63cc0ecf1a9890304e	365652	released
03fbcbed-0498-46b7-937b-51f77622776c	nationwidechildrens.org_clinical_patient_dlbc.txt	ea21d0106b9a25c4c1038ba4d049579f	95800	released
ee49cde2-db41-47c9-8c41-99662f96d3c2	nationwidechildrens.org_clinical_patient_sarc.txt	4ae21d06deef25e36f5b87ac131dbff2	214432	released
06efd272-a76f-4703-98b8-dfa751c0f019	nationwidechildrens.org_clinical_patient_prad.txt	a471f4e16a71791e26f2595507a178a2	377559	released
92be86dd-9f8c-4dfe-ba38-22cef2f6a9c7	nationwidechildrens.org_clinical_patient_paad.txt	346107fe4d819852f2cb131cccae8036	152822	released
bbb2453e-3794-472b-a061-789513b36e61	nationwidechildrens.org_clinical_patient_pcpg.txt	2db233a2cde2fc5f8c704eceabe46eb3	75205	released
8162d394-8b64-4da2-9f5b-d164c54b9608	nationwidechildrens.org_clinical_patient_brca.txt	f271f56d44b62d41bd6ddb0d26e525b4	1700943	released
4060482f-eedf-4959-97f1-f8b6c529c368	nationwidechildrens.org_clinical_patient_coad.txt	8d3208dabb1178167fe4f0d9fa66d95b	499719	released
42bf5eb2-bc49-45be-b18a-290f712b006c	nationwidechildrens.org_clinical_patient_luad.txt	4a21048ad826b65c80252b4f4dd2f995	857079	released
2efbcfd6-0284-4981-820f-2d23455fe6be	nationwidechildrens.org_clinical_patient_cesc.txt	42db0ed614955c1108acf2422f289e24	629327	released
0089d221-5807-47f1-a382-1e2e336df201	nationwidechildrens.org_clinical_patient_stad.txt	3024b4210d713fb1222fde805b9c94dc	295655	released
7aaee8d4-3bea-4dfc-b392-c7aaa3e9a550	nationwidechildrens.org_clinical_patient_lusc.txt	ff3b565da71c8489a9451cd19b6e5c02	708106	released
58cbbc07-5ec4-47c7-9295-11ccbf7693f4	nationwidechildrens.org_clinical_patient_skcm.txt	b93abd848f9401fe26c9930c1fda2ad0	304102	released
